ldsId,passageTime,passagetimeMs,loopPairId,startLoop,endLoop,vehicleLength,vehicleSpeed
1537,1643065229,743,3,5,6,408,127
1537,1643065238,770,2,3,4,358,107
1537,1643065241,861,3,5,6,368,93
1537,1643065267,7,2,3,4,529,134
1537,1643065279,204,2,3,4,345,110
1537,1643065383,321,3,5,6,1675,90
1537,1643065392,557,2,3,4,407,103
1537,1643065395,296,3,5,6,448,109
1537,1643065396,860,2,3,4,327,105
1537,1643065400,227,3,5,6,434,97
1537,1643065450,567,3,5,6,364,93
1537,1643065468,242,3,5,6,413,95
1537,1643065485,491,3,5,6,409,114
1537,1643065486,836,2,3,4,385,118
1537,1643065491,506,2,3,4,451,128
1537,1643065504,665,3,5,6,381,93
1537,1643065542,277,2,3,4,427,130
1537,1643065558,599,3,5,6,373,79
1537,1643065566,43,3,5,6,575,117
1537,1643065568,969,2,3,4,466,149
1537,1643065569,289,1,1,2,441,149
1537,1643065599,422,2,3,4,398,201
1537,1643065673,177,3,5,6,360,100
1537,1643065759,292,2,3,4,388,98
1537,1643065817,675,2,3,4,443,107
1537,1643065847,930,3,5,6,335,106
1537,1643065859,690,2,3,4,406,131
1537,1643065860,378,2,3,4,407,130
1537,1643065887,457,2,3,4,436,151
1537,1643065892,576,3,5,6,405,88
1537,1643065922,0,3,5,6,430,90
1537,1643065923,281,2,3,4,357,104
1537,1643065924,902,2,3,4,418,94
1537,1643065994,276,2,3,4,386,126
1537,1643066027,872,2,3,4,314,108
1537,1643066033,343,3,5,6,461,97
1537,1643066034,702,2,3,4,402,104
1537,1643066038,65,2,3,4,403,127
1537,1643066081,23,2,3,4,470,124
1537,1643066137,157,2,3,4,370,95
1537,1643066181,599,2,3,4,816,92
1537,1643066194,988,2,3,4,353,115
1537,1643066205,270,2,3,4,429,118
1537,1643066234,515,3,5,6,710,89
1537,1643066271,204,2,3,4,389,115
1537,1643066379,56,2,3,4,579,88
1537,1643066391,472,3,5,6,407,107
1537,1643066391,679,2,3,4,384,130
1537,1643066404,483,3,5,6,476,121
1537,1643066404,988,2,3,4,1689,85
1537,1643066426,719,2,3,4,383,100
1537,1643066482,514,3,5,6,355,92
1537,1643066496,59,3,5,6,550,70
1537,1643066526,929,3,5,6,455,89
1537,1643066552,688,2,3,4,397,128
1537,1643066561,570,2,3,4,510,142
1537,1643066678,315,2,3,4,425,111
1537,1643066685,221,3,5,6,429,113
1537,1643066693,590,2,3,4,359,105
1537,1643066729,617,3,5,6,343,107
1537,1643066744,95,2,3,4,430,104
1537,1643066818,939,2,3,4,330,88
1537,1643066831,729,2,3,4,432,88
1537,1643066897,956,2,3,4,431,126
1537,1643066908,301,3,5,6,429,88
1537,1643066910,613,2,3,4,485,107
1537,1643066941,535,2,3,4,368,103
1537,1643066969,432,2,3,4,376,98
1537,1643067067,137,2,3,4,1295,102
1537,1643067098,224,3,5,6,1713,86
1537,1643067149,742,2,3,4,1706,91
1537,1643067201,695,3,5,6,392,106
1537,1643067324,256,2,3,4,333,127
1537,1643067326,829,2,3,4,401,125
1537,1643067342,187,2,3,4,403,119
1537,1643067404,154,3,5,6,412,80
1537,1643067414,951,2,3,4,415,120
1537,1643067419,896,3,5,6,462,72
1537,1643067474,642,2,3,4,450,101
1537,1643067477,786,2,3,4,404,103
1537,1643067480,878,2,3,4,473,99
1537,1643067518,578,2,3,4,439,132
1537,1643067586,630,2,3,4,479,149
1537,1643067591,364,2,3,4,399,129
1537,1643067626,173,3,5,6,416,105
1537,1643067638,773,3,5,6,1505,87
1537,1643067647,676,3,5,6,491,73
1537,1643067708,486,3,5,6,769,112
1537,1643067725,665,3,5,6,327,93
1537,1643067826,975,2,3,4,435,111
1537,1643067850,139,2,3,4,431,115
1537,1643067856,824,3,5,6,384,108
1537,1643067859,441,2,3,4,356,108
1537,1643067872,921,3,5,6,421,100
1537,1643068021,452,2,3,4,411,157
1537,1643068040,41,1,1,2,440,144
1537,1643068040,508,2,3,4,490,123
1537,1643068086,200,2,3,4,446,144
1537,1643068171,931,2,3,4,430,122
1537,1643068253,339,2,3,4,1664,89
1537,1643068385,740,3,5,6,1183,91
1537,1643068436,754,3,5,6,357,81
1537,1643068451,468,2,3,4,361,96
1537,1643068535,168,2,3,4,390,112
1537,1643068539,562,2,3,4,362,117
1537,1643068625,206,2,3,4,414,95
1537,1643068653,760,3,5,6,1703,84
1537,1643068656,172,3,5,6,1644,79
1537,1643068734,7,2,3,4,447,121
1537,1643068739,90,3,5,6,1928,62
1537,1643068743,596,2,3,4,369,109
1537,1643068830,228,2,3,4,1673,89
1537,1643068879,722,3,5,6,392,110
1537,1643068886,134,2,3,4,523,101
1537,1643068888,327,2,3,4,527,102
1537,1643068909,145,2,3,4,349,102
1537,1643069015,953,3,5,6,1716,73
1537,1643069017,7,2,3,4,1647,84
1537,1643069055,332,3,5,6,350,118
1537,1643069056,848,2,3,4,402,100
1537,1643069079,608,2,3,4,636,102
1537,1643069117,541,2,3,4,619,93
1537,1643069131,755,3,5,6,1722,69
1537,1643069175,267,2,3,4,413,94
1537,1643069348,869,3,5,6,734,118
1537,1643069442,769,3,5,6,1729,79
1537,1643069488,727,3,5,6,396,115
1537,1643069521,74,2,3,4,486,77
1537,1643069575,361,2,3,4,375,87
1537,1643069655,276,2,3,4,522,119
1537,1643069923,15,3,5,6,422,94
1537,1643069930,170,3,5,6,793,126
1537,1643069937,718,2,3,4,442,116
1537,1643070083,653,2,3,4,503,141
1537,1643070141,546,3,5,6,355,89
1537,1643070288,741,3,5,6,1072,77
